S/N,Name,Department
1,Adewale Adeyemi,Logistics
2,Chidi Okafor,Logistics
3,Fatima Abubakar,Logistics
4,Olawale Johnson,Logistics
5,Ngozi Okoro,Logistics
6,Tunde Bakare,Logistics
7,Blessing Udoh,Logistics
8,Ibrahim Musa,Logistics
9,Zainab Yusuf,Retail
10,Emeka Ani,Retail
11,Aisha Bello,Retail
12,Samuel Ebuka,Retail
13,Mary Onuoha,Retail
14,Yinka Folami,Retail
15,Grace Effiong,Retail
16,Uche Eze,Retail
17,Aminu Garba,Administration
18,Bose Williams,Administration
19,Segun Arinze,Administration
20,Kemi Akindele,Administration
21,Joy Idoko,Administration
22,Victor Uzor,Administration
23,Damilola Shittu,Administration
24,Rita Dominic,Administration
25,Paul Okoye,Accounts
26,Mercy Johnson,Accounts
27,Sadiq Umar,Accounts
28,Favour Nwachukwu,Accounts
29,Bankole Wellington,Accounts
30,Halima Dangote,Accounts
31,Osas Ighodalo,Accounts
32,Bisi Alimi,Accounts
33,Tobi Amusan,Operations
34,Kufre Udoh,Operations
35,Efe Money,Operations
36,Seyi Shay,Operations
37,Davido Adeleke,Operations
38,Wizkid Balogun,Operations
39,Tiwa Savage,Operations
40,Burna Boy,Operations
